,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,AC,469.5941365524833,497.73262117578724,482.7328900515947,495.7929528886087,580.4883366034445
1,AL,476.63670354039635,501.6360900781658,484.53381852042884,516.8031974420483,608.8382464652406
2,AM,460.32610547440777,482.0408571715287,468.69921108099896,486.2073943583416,529.6332429990966
3,AP,467.70077388705937,495.44838208280584,473.61037869153284,491.3738257604781,572.1718242193019
4,BA,479.93956294623126,506.2344663608261,489.1311305749735,513.5079866100931,606.2769686871092
5,CE,477.06704388858844,504.28599058069534,490.23659332456964,521.452906418337,589.2607882899248
6,DF,508.6532927369373,539.6153480979551,522.6974632452857,552.1859366696177,622.0754125101951
7,ES,503.8796625032629,529.864190810523,510.21954985780854,549.4712440452213,624.7849271240668
8,GO,486.9783704565132,514.0293450951942,497.81221037351065,527.6290889888339,614.9923510691754
9,MA,465.963605745537,489.3113365274517,472.7895572329017,496.17812683361564,587.8401903131496
10,MG,508.5624039130213,538.8451182519257,519.2265867245554,561.9891468886256,647.2346613391096
11,MS,488.5959543568482,511.9760738950269,497.3348480662951,529.0984550978069,594.4972375690608
12,MT,483.62365304325385,509.1941704867607,489.76294814382805,521.0081768865889,587.4448183576671
13,PA,469.5333422441991,495.2108630310092,473.11107099974197,494.8119093764622,594.9461243260636
14,PB,479.15664656824237,504.54414492245553,485.98115441206386,518.0623224952143,614.4655174741162
15,PE,480.948449638845,505.24781259695703,491.8256622098358,524.2977602946876,602.7967587615178
16,PI,473.69620375750304,496.5147300618682,479.7679142300221,510.91931047840416,615.874565641156
17,PR,503.97913115690244,531.9295836790494,513.8228093123055,549.2625785020983,604.6971545707453
18,RJ,501.4757574799766,535.3145258878645,517.5413376237713,549.5927024002902,631.0490853170724
19,RN,490.2886570386873,517.483869771209,497.919212287779,529.7154206930771,619.856350424036
20,RO,475.5330548163923,497.05392275928983,480.42591207189605,506.3319159127197,573.2105902356085
21,RR,484.06630412476886,506.7271415004753,491.29437796771015,509.5941719679871,572.630579297246
22,RS,503.09754751686063,536.1514903890844,517.5571250812477,550.5064595241347,618.4551954684744
23,SC,508.8714970521806,537.2355201290536,515.5699042454604,557.3952063474562,621.2194117445173
24,SE,481.4469875660362,504.63032561689045,486.3258560162864,516.7949917284834,621.8514372933096
25,SP,512.3475355710397,545.0858393050481,528.7554902214555,568.1329960522326,631.8818378384208
26,TO,473.19076489249403,493.7521119448784,478.00391240738435,506.8660305151327,589.8796545377319
