,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,Abaetetuba,PA,460.1116720163425,479.5705719812102,459.2187897209172,479.5387510942522,588.5327438518927
1,Abaeté,MG,498.3485655737701,519.2679207920787,508.30079207920744,548.9780737704921,634.7722772277227
2,Abreu e Lima,PE,470.482794117647,495.5797316384182,484.54795197740043,499.65198529411657,575.2401129943503
3,Acarape,CE,461.05884244373016,479.3225609756095,468.5042682926829,486.66430868167186,571.4634146341464
4,Acaraú,CE,454.65898477157464,471.9242899118504,469.6623898139082,500.02923857868,557.7473065621939
5,Acari,RN,483.3876160990712,516.7077151335308,493.7744807121663,516.0226006191954,637.2106824925816
6,Acará,PA,449.27087628866036,470.2628712871286,441.6950495049502,464.38582474226865,566.039603960396
7,Acopiara,CE,454.1364569961486,478.5309002433089,468.96605839416065,499.5238767650834,527.1776155717762
8,Acrelândia,AC,450.2421686746986,481.65111111111116,468.91166666666663,491.29216867469864,548.7777777777778
9,Acreúna,GO,462.92927631578937,488.9938837920487,476.12048929663644,496.4802631578953,545.8103975535169
10,Adamantina,SP,520.0247588424439,544.935329341317,521.2955089820363,583.3504823151131,654.1916167664671
11,Afogados da Ingazeira,PE,479.65204081632675,507.7329073482427,496.2102236421725,527.3324829931977,588.626198083067
12,Afonso Cláudio,ES,490.7375321336764,521.2081280788177,498.59876847290644,537.9323907455013,630.1477832512315
13,Afrânio,PE,453.9415384615385,461.6693474962062,452.4329286798179,487.2018803418806,528.4370257966616
14,Agrestina,PE,465.55053003533584,490.72073578595297,480.33745819398,504.4452296819787,590.3010033444816
15,Agudos,SP,513.5687499999999,546.9616580310882,529.7020725388596,578.9664772727275,658.2383419689119
16,Aimorés,MG,496.84488636363625,525.0684491978612,515.5344919786093,545.6741477272724,613.2085561497327
17,Alagoa Grande,PB,468.4414893617018,493.27484787018295,472.5831643002028,505.95851063829804,599.8377281947262
18,Alagoa Nova,PB,462.2731343283583,485.8065306122447,464.9771428571428,481.92366737739866,588.9795918367347
19,Alagoinha,PB,443.3758928571429,462.7601123595504,453.5528089887642,477.985119047619,561.7977528089888
20,Alagoinhas,BA,482.50537494581636,503.0956628477916,488.56472995089985,506.22262678803685,582.2176759410802
21,Alcântara,MA,447.46428571428635,463.0774834437084,452.72251655629145,474.3335714285712,535.7615894039735
22,Alegre,ES,500.7840682788051,512.8420190995904,497.84106412005514,534.3177809388333,604.8294679399727
23,Alegrete,RS,488.22025611175815,516.8209481808158,502.76339581036444,520.7196740395807,590.8489525909592
24,Alenquer,PA,443.2274086378736,463.69792993630494,445.39570063694276,464.08006644518304,541.4649681528663
25,Alexandria,RN,473.2630738522957,493.05642023346326,475.4501945525293,510.833532934131,603.1906614785992
26,Alexânia,GO,472.55088495575217,497.11169354838717,478.0092741935487,491.5575221238936,558.1451612903226
27,Alfenas,MG,506.7460026212317,533.0906905055487,513.594204685573,557.0872214941032,647.6572133168927
28,Alhandra,PB,453.1923913043479,474.0094527363184,466.38805970149224,482.6190217391304,534.5273631840796
29,Aliança,PE,455.3340040241451,469.9467166979365,466.15478424014975,491.58008048289736,567.7298311444653
30,Almeirim,PA,452.33121019108273,466.5544378698224,447.1591715976331,467.72993630573234,501.53846153846155
31,Almenara,MG,475.50883233532966,496.65467625899254,488.02776978417256,516.776946107785,574.9640287769785
32,Almirante Tamandaré,PR,491.3053191489362,529.3636182902585,505.2359840954273,530.7687234042555,585.1292246520875
33,Alpinópolis,MG,493.6235632183911,514.6908925318759,497.71693989071036,549.8580459770111,650.7832422586521
34,Alta Floresta,MT,479.18528138528114,501.5916093535075,483.5921595598352,516.2217893217896,609.353507565337
35,Alta Floresta D'Oeste,RO,479.5651041666666,500.26911764705886,479.37254901960785,506.91562500000003,593.9215686274509
36,Altamira,PA,464.75495495495494,489.2022136331696,465.62350667603613,490.9606231231223,568.9529163738581
37,Altinho,PE,468.1592592592592,497.0894878706197,479.81563342318054,512.7544159544158,580.5390835579515
38,Alto Alegre,RR,430.0235294117649,454.4067796610169,441.80169491525436,455.27254901960794,491.1864406779661
39,Alto Paraíso,RO,465.1716049382716,472.66629213483117,457.5404494382023,486.33827160493854,508.314606741573
40,Alto Santo,CE,445.130651340996,470.4404332129965,466.77039711191355,486.20613026819944,478.4115523465704
41,Alto do Rodrigues,RN,458.53130193905815,480.4361477572559,466.25356200527705,485.8038781163432,556.1477572559367
42,Altos,PI,460.03684647302947,477.70452708164896,462.5278092158448,487.5317842323647,592.6434923201293
43,Alvarães,AM,423.5261744966441,443.73614457831326,418.52650602409636,447.8738255033556,464.93975903614455
44,Alvinópolis,MG,488.5279999999998,522.4221276595747,501.42723404255315,542.145333333333,620.5106382978723
45,Alvorada,RS,485.8222983257228,520.832590529248,504.5481894150417,519.4484779299845,571.3788300835655
46,Alvorada D'Oeste,RO,458.7754838709677,483.56626506024105,462.2355421686745,484.46774193548407,577.2289156626506
47,Alvorada do Norte,GO,452.3834080717492,474.1805907172996,461.8776371308014,485.6901345291479,510.295358649789
48,Alvorada do Sul,PR,479.7278195488722,502.5135714285718,484.81964285714304,514.9161654135338,578.7857142857143
49,Além Paraíba,MG,501.47633451957256,528.6757731958762,514.4802405498285,557.5078291814955,659.7938144329897
50,Amambai,MS,472.39315403422944,492.45618221258155,482.8971800433838,509.69559902200467,538.6984815618222
51,Amapá,AP,439.35288461538454,463.4307692307694,424.89743589743597,454.97788461538465,541.1965811965812
52,Amarante,PI,448.5970270270279,469.1247340425527,445.1377659574471,468.20270270270237,560.4255319148937
53,Amarante do Maranhão,MA,458.9889204545461,471.87698630136987,451.14109589041095,483.4187500000005,570.7397260273973
54,Amargosa,BA,471.53550165380375,493.9038144329896,477.08247422680404,496.68125689084985,584.4742268041238
55,Americana,SP,525.8362318840567,556.3018606663792,537.3064906966698,590.8225090579712,661.964517524881
56,Amontada,CE,439.6223841059601,454.65101796407185,447.6390419161678,478.5652980132456,466.22754491017963
57,Amparo,SP,524.876538461539,550.3619283065516,535.8582200247223,584.2616666666664,655.0556242274413
58,Ampére,PR,477.36408163265355,515.732307692308,496.38346153846146,525.602857142857,585.5384615384615
59,Amélia Rodrigues,BA,466.82356495468287,490.2622478386162,481.68126801152727,494.0824773413898,585.1873198847262
60,Anagé,BA,455.0960396039605,479.33279742765285,453.18681672025747,483.26600660066,571.3183279742765
61,Anajatuba,MA,458.2503597122302,478.6958333333332,455.5138888888891,485.4316546762591,632.3611111111111
62,Anajás,PA,439.2025157232705,457.76871508379884,440.9407821229048,461.15534591194995,498.99441340782124
63,Anamã,AM,431.6027272727276,449.3525179856115,437.6517985611512,464.24090909090916,438.9928057553957
64,Ananindeua,PA,476.5112731084431,505.41710222222457,483.96160000000083,500.5179245283024,594.8711111111111
65,Ananás,TO,453.32569832402254,467.8484374999999,458.1859375000003,481.9435754189938,552.2916666666666
66,Anastácio,MS,454.7042424242424,485.77159090909095,458.26931818181833,479.319393939394,544.4318181818181
67,Anchieta,ES,500.93187588152335,525.4139442231082,509.19243027888496,542.8919605077575,626.6135458167331
68,Andradas,MG,506.3702623906703,532.1361111111105,515.8891666666665,558.8297376093298,662.1111111111111
69,Andradina,SP,495.17691154422727,518.3992927864216,507.27538896746853,548.2680659670156,610.3536067892503
70,Andrelândia,MG,481.65170068027214,507.2825806451612,491.2277419354838,522.4993197278907,604.3010752688172
71,Angicos,RN,462.2633333333335,481.76984572229986,464.5737727910244,493.816376811594,570.7994389901824
72,Angra dos Reis,RJ,492.26192468619274,523.259692307692,505.89269230769213,534.4931380753143,605.4461538461538
73,Anori,AM,442.3495867768594,448.23984962406024,438.1849624060148,456.332231404959,511.8796992481203
74,Anápolis,GO,497.73788775327364,526.5276410513987,508.3326636531028,542.2525372063836,649.6099112673699
75,Aparecida,SP,497.6115511551152,533.9919003115266,521.8115264797507,557.8066006600658,607.1651090342679
76,Aparecida de Goiânia,GO,479.24999079698085,510.57627410468206,493.03648415977995,513.1125161052823,603.853305785124
77,Aparecida do Taboado,MS,489.17530864197533,507.0790697674418,499.95523255813947,536.8925925925929,634.4186046511628
78,Apiaí,SP,480.11389961389955,517.5400735294118,510.0367647058824,521.6316602316602,589.5588235294117
79,Apodi,RN,481.79876160990716,498.86960396039626,484.4093069306929,518.290608875129,629.1881188118812
80,Apucarana,PR,496.4949685534586,525.4468874172182,509.66231788079466,544.1605870020961,587.9072847682119
81,Apuí,AM,454.3329411764706,476.1956989247315,453.0645161290322,491.10588235294136,478.9247311827957
82,Aquidauana,MS,464.41821428571455,481.0792144026181,462.59247135842907,489.9083928571425,550.8674304418985
83,Aquiraz,CE,468.19114391144007,493.91396449704155,486.654792899408,503.6516605166051,588.4260355029586
84,Aracaju,SE,501.16505000326697,526.6109790992788,508.0967778054224,541.5531080462778,647.1336153271958
85,Aracati,CE,463.9082172701952,488.73021534320384,478.87597577388874,504.90215877437345,554.8452220726783
86,Araci,BA,470.1770773638967,485.8285333333332,469.53573333333355,491.8386819484237,607.4133333333333
87,Aracoiaba,CE,451.94013157894705,470.4718995290428,465.5755102040816,487.2222039473686,547.2841444270016
88,Aracruz,ES,506.20255924170567,529.1735422106169,509.81279373368085,556.8922274881515,627.8328981723238
89,Aragarças,GO,465.374273858921,486.0358267716538,473.7259842519686,498.5721991701246,553.9370078740158
90,Araguanã,TO,449.40156250000007,452.92857142857156,438.75714285714304,464.5046875000001,508.85714285714283
91,Araguari,MG,508.7831762146479,538.6982167352538,520.8898491083685,556.8525743292237,646.3648834019205
92,Araguatins,TO,455.35957446808476,473.0978405315615,459.74186046511625,480.6535460992905,566.1129568106312
93,Araguaína,TO,477.9103688643613,496.6656573922532,480.7304146208393,511.3670345628808,610.4909983633388
94,Araioses,MA,460.35639534883717,484.8305555555556,460.8627777777777,475.70581395348836,563.2222222222222
95,Arame,MA,443.6056338028168,455.0607142857147,437.47232142857126,469.10140845070396,523.8392857142857
96,Arapiraca,AL,483.974376098417,510.5617331545413,491.1844787127054,529.294077328646,627.0398927254441
