Territorialidades;IDHM Educação 2017;IDHM Longevidade 2017;IDHM Renda 2017;IDHM 2017;Regiao
Brasil;0,74;0,85;0,75;0,778;Brasil
Acre;0,68;0,82;0,66;0,719;Norte
Alagoas;0,64;0,78;0,64;0,683;Nordeste
Amapá;0,71;0,82;0,7;0,74;Norte
Amazonas;0,74;0,79;0,68;0,733;Norte
Bahia;0,65;0,81;0,69;0,714;Nordeste
Ceará;0,72;0,82;0,68;0,735;Nordeste
Distrito Federal;0,8;0,89;0,86;0,85;Centro Oeste
Espírito Santo;0,73;0,85;0,74;0,772;Sudeste
Goiás;0,74;0,82;0,75;0,769;Centro Oeste
Maranhão;0,68;0,76;0,62;0,687;Nordeste
Mato Grosso do Sul;0,71;0,85;0,75;0,766;Centro Oeste
Mato Grosso;0,76;0,83;0,74;0,774;Centro Oeste
Minas Gerais;0,75;0,88;0,74;0,787;Sudeste
Paraíba;0,67;0,81;0,69;0,722;Nordeste
Paraná;0,76;0,84;0,77;0,792;Sul
Pará;0,66;0,79;0,65;0,698;Norte
Pernambuco;0,69;0,82;0,68;0,727;Nordeste
Piauí;0,67;0,77;0,66;0,697;Nordeste
Rio de Janeiro;0,76;0,86;0,77;0,796;Sudeste
Rio Grande do Norte;0,68;0,85;0,68;0,731;Nordeste
Rio Grande do Sul;0,73;0,85;0,79;0,787;Sul
Rondônia;0,7;0,78;0,7;0,725;Norte
Roraima;0,77;0,78;0,71;0,752;Norte
Santa Catarina;0,78;0,87;0,78;0,808;Sul
São Paulo;0,83;0,85;0,8;0,826;Sudeste
Sergipe;0,64;0,8;0,68;0,702;Nordeste
Tocantins;0,73;0,81;0,7;0,743;Norte
 ; ;;;;
